[006a06] 6a06 E023   LD (FF23h),A   AF=8080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a08] 6a08 AF     XOR A          AF=8080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a09] 6a09 E010   LD (FF10h),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a0b] 6a0b E01A   LD (FF1Ah),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a0d] 6a0d C9     RET            AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[000325] 0325 3E09   LD A,09h       AF=0080 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000327] 0327 E0FF   LD (FFFFh),A   AF=0980 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000329] 0329 3E37   LD A,37h       AF=0980 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[00032b] 032b E0C0   LD (FFC0h),A   AF=3780 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[00032d] 032d 3E1C   LD A,1Ch       AF=3780 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[00032f] 032f E0C1   LD (FFC1h),A   AF=1c80 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000331] 0331 3E24   LD A,24h       AF=1c80 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000333] 0333 E0E1   LD (FFE1h),A   AF=2480 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000335] 0335 3E80   LD A,80h       AF=2480 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000337] 0337 E040   LD (FF40h),A   AF=8080 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000339] 0339 FB     EI             AF=8080 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[00033a] 033a AF     XOR A          AF=8080 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[000040] 0040 C3FD01 JP 01FDh       AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
